
Hello world from worker
{'generation': 67, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -3.5000000000000018, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 68, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 69, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 70, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -3.5000000000000018, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 71, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 72, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 73, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -3.5000000000000018, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 74, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 75, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 76, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 77, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 78, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 79, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 80, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 81, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -3.5000000000000018, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 82, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 83, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 84, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -3.5000000000000018, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 85, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 86, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 87, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 88, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 89, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 90, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 91, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 92, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 93, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 94, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 95, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 96, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 97, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 98, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
